Building a new model...
Building a new model...
3 1 2 ['001'] ['.DS_Store', '004']
Starting training:
            Epochs:300
            Batch size:1
            Learning rate:0.001
            Training size:3
            Validation size:1
            
Building a new model...
3 1 2 ['001'] ['.DS_Store', '004']
Starting training:
            Epochs:300
            Batch size:1
            Learning rate:0.001
            Training size:3
            Validation size:1
            
Epoch 1/300 : Loss:0.8903, Valid loss: 0.9978, lr:0.001000 [0.0022] 198.23058485984802
Epoch 137/300 : Loss:0.5364, Valid loss: 0.9906, lr:0.000240 [0.0094] 178.76662588119507
Epoch 138/300 : Loss:0.5349, Valid loss: 0.9879, lr:0.000240 [0.0121] 177.85372686386108
Epoch 139/300 : Loss:0.4056, Valid loss: 0.9950, lr:0.000240 [0.005] 178.52746891975403
Epoch 140/300 : Loss:0.4179, Valid loss: 0.9585, lr:0.000240 [0.0415] 5176.257869005203
Model 140 saved.
Epoch 141/300 : Loss:0.4171, Valid loss: 0.9564, lr:0.000240 [0.0436] 191.87643790245056
Epoch 142/300 : Loss:0.3931, Valid loss: 0.9596, lr:0.000240 [0.0404] 199.4926562309265
Epoch 143/300 : Loss:0.3894, Valid loss: 0.9265, lr:0.000240 [0.0735] 191.76667022705078
Epoch 144/300 : Loss:0.3957, Valid loss: 0.9324, lr:0.000240 [0.0676] 188.98848414421082
Epoch 145/300 : Loss:0.3879, Valid loss: 0.9201, lr:0.000240 [0.0799] 188.78909301757812
Epoch 146/300 : Loss:0.3810, Valid loss: 0.9088, lr:0.000240 [0.0912] 188.9668869972229
Epoch 147/300 : Loss:0.3819, Valid loss: 0.8957, lr:0.000240 [0.1043] 188.8195400238037
Epoch 148/300 : Loss:0.5268, Valid loss: 0.8935, lr:0.000240 [0.1065] 190.50914096832275
Epoch 149/300 : Loss:0.3828, Valid loss: 0.8981, lr:0.000240 [0.1019] 190.20942091941833
Epoch 150/300 : Loss:0.3820, Valid loss: 0.9182, lr:0.000240 [0.0818] 192.43870615959167
Model 150 saved.
Epoch 151/300 : Loss:0.5292, Valid loss: 0.9194, lr:0.000168 [0.0806] 191.8835289478302
Epoch 152/300 : Loss:0.3808, Valid loss: 0.9121, lr:0.000168 [0.0879] 193.07497191429138
Epoch 153/300 : Loss:0.3796, Valid loss: 0.9049, lr:0.000168 [0.0951] 194.5391821861267
Epoch 154/300 : Loss:0.3798, Valid loss: 0.8973, lr:0.000168 [0.1027] 191.90755796432495
Epoch 155/300 : Loss:0.3808, Valid loss: 0.9029, lr:0.000168 [0.0971] 191.53534483909607
Epoch 156/300 : Loss:0.3796, Valid loss: 0.9083, lr:0.000168 [0.0917] 190.8823549747467
Epoch 157/300 : Loss:0.5236, Valid loss: 0.9147, lr:0.000168 [0.0853] 189.45566082000732
Epoch 158/300 : Loss:0.5249, Valid loss: 0.9206, lr:0.000168 [0.0794] 190.75570392608643
Epoch 159/300 : Loss:0.5244, Valid loss: 0.9226, lr:0.000168 [0.0774] 193.62990021705627
Epoch 160/300 : Loss:0.3752, Valid loss: 0.9209, lr:0.000168 [0.0791] 193.44323801994324
Model 160 saved.
Building a new model...
24 8 8 ['37.nrrd', '29.nrrd', '6.nrrd', '0.nrrd', '8.nrrd', '24.nrrd', '30.nrrd', '18.nrrd'] ['35.nrrd', '36.nrrd', '17.nrrd', '25.nrrd', '21.nrrd', '22.nrrd', '3.nrrd', '23.nrrd']
Starting training:
            Epochs:300
            Batch size:1
            Learning rate:0.001
            Training size:24
            Validation size:8
            
Building a new model...
24 8 8 ['2.nrrd', '4.nrrd', '13.nrrd', '12.nrrd', '31.nrrd', '26.nrrd', '34.nrrd', '14.nrrd', '19.nrrd', '33.nrrd', '28.nrrd', '15.nrrd', '20.nrrd', '10.nrrd', '27.nrrd', '38.nrrd', '16.nrrd', '5.nrrd', '32.nrrd', '7.nrrd', '9.nrrd', '1.nrrd', '11.nrrd', '39.nrrd'] ['37.nrrd', '29.nrrd', '6.nrrd', '0.nrrd', '8.nrrd', '24.nrrd', '30.nrrd', '18.nrrd'] ['35.nrrd', '36.nrrd', '17.nrrd', '25.nrrd', '21.nrrd', '22.nrrd', '3.nrrd', '23.nrrd']
Starting training:
            Epochs:300
            Batch size:1
            Learning rate:0.001
            Training size:24
            Validation size:8
            
Building a new model...
24 8 8 ['2.nrrd', '4.nrrd', '13.nrrd', '12.nrrd', '31.nrrd', '26.nrrd', '34.nrrd', '14.nrrd', '19.nrrd', '33.nrrd', '28.nrrd', '15.nrrd', '20.nrrd', '10.nrrd', '27.nrrd', '38.nrrd', '16.nrrd', '5.nrrd', '32.nrrd', '7.nrrd', '9.nrrd', '1.nrrd', '11.nrrd', '39.nrrd'] ['37.nrrd', '29.nrrd', '6.nrrd', '0.nrrd', '8.nrrd', '24.nrrd', '30.nrrd', '18.nrrd'] ['35.nrrd', '36.nrrd', '17.nrrd', '25.nrrd', '21.nrrd', '22.nrrd', '3.nrrd', '23.nrrd']
Starting training:
            Epochs:300
            Batch size:1
            Learning rate:0.001
            Training size:24
            Validation size:8
            
Building a new model...
24 8 8 ['2.nrrd', '4.nrrd', '13.nrrd', '12.nrrd', '31.nrrd', '26.nrrd', '34.nrrd', '14.nrrd', '19.nrrd', '33.nrrd', '28.nrrd', '15.nrrd', '20.nrrd', '10.nrrd', '27.nrrd', '38.nrrd', '16.nrrd', '5.nrrd', '32.nrrd', '7.nrrd', '9.nrrd', '1.nrrd', '11.nrrd', '39.nrrd'] ['37.nrrd', '29.nrrd', '6.nrrd', '0.nrrd', '8.nrrd', '24.nrrd', '30.nrrd', '18.nrrd'] ['35.nrrd', '36.nrrd', '17.nrrd', '25.nrrd', '21.nrrd', '22.nrrd', '3.nrrd', '23.nrrd']
Starting training:
            Epochs:300
            Batch size:1
            Learning rate:0.001
            Training size:24
            Validation size:8
            
Building a new model...
24 8 8 ['2.nrrd', '4.nrrd', '13.nrrd', '12.nrrd', '31.nrrd', '26.nrrd', '34.nrrd', '14.nrrd', '19.nrrd', '33.nrrd', '28.nrrd', '15.nrrd', '20.nrrd', '10.nrrd', '27.nrrd', '38.nrrd', '16.nrrd', '5.nrrd', '32.nrrd', '7.nrrd', '9.nrrd', '1.nrrd', '11.nrrd', '39.nrrd'] ['37.nrrd', '29.nrrd', '6.nrrd', '0.nrrd', '8.nrrd', '24.nrrd', '30.nrrd', '18.nrrd'] ['35.nrrd', '36.nrrd', '17.nrrd', '25.nrrd', '21.nrrd', '22.nrrd', '3.nrrd', '23.nrrd']
Starting training:
            Epochs:300
            Batch size:1
            Learning rate:0.001
            Training size:24
            Validation size:8
            
